strength,dexterity,intelligence,vigor,constitution,height,fitness,generation,selection_rate
35,46,41,37,39,1.39,28.374342512392385,0,23
35,41,31,45,46,1.88,27.780490901382024,0,23
41,46,38,34,39,1.98,31.392652538360842,0,23
39,39,40,39,41,1.78,29.312600670396222,0,23
46,37,40,43,32,1.47,30.093356120750162,0,23
48,39,38,34,39,1.58,30.62427492405496,0,23
35,47,44,33,39,1.42,28.967905070774936,0,23
45,30,44,41,38,1.36,28.882352223424597,0,23
38,37,38,43,42,1.89,29.040719719717906,0,23
35,26,53,45,39,1.38,27.05922394155601,0,23
33,34,40,41,50,1.54,27.40063275968649,0,23
42,40,31,44,41,1.81,29.470656798678895,0,23
44,44,38,35,37,1.47,31.04749393710116,0,23
42,35,45,39,37,1.6,29.062538060901915,0,23
37,35,49,45,32,1.58,27.35928762790439,0,23
37,43,49,26,43,1.37,29.256905013293085,0,23
37,44,33,44,40,1.73,28.092065390378245,0,23
39,49,38,33,39,1.65,29.21016440932011,0,23
44,34,48,42,30,1.39,29.266852670507532,0,23
35,38,43,42,40,1.95,28.510209160088777,0,24
42,37,37,41,41,1.5,29.31077078046441,0,24
37,34,40,39,48,1.79,28.408468220415216,0,24
40,41,37,36,44,1.79,29.831833734735312,0,24
33,41,38,42,44,1.91,27.83173742202282,0,24
42,40,42,35,39,1.77,30.441406221194168,0,24
40,37,42,39,40,1.65,28.781549027527326,0,24
32,39,44,40,43,1.46,27.39764937532781,0,24
36,35,50,42,35,1.93,28.863243690738017,0,24
41,34,30,43,50,1.32,27.862251118351004,0,24
41,36,33,43,45,1.57,28.48069739383937,0,24
40,42,49,30,37,1.47,30.59919640632372,0,24
49,30,37,45,37,1.66,28.767752311296306,0,24
45,42,31,42,38,1.42,30.02700703129421,0,24
34,39,55,33,37,1.72,28.048376477197067,0,24
38,41,32,44,43,1.45,28.374244521104764,0,24
39,35,50,42,32,1.72,28.243509843584256,0,24
35,38,38,44,43,1.86,28.029988441480363,0,24
44,41,39,37,37,1.94,32.25717008885217,0,24
43,38,36,49,32,1.59,28.096298315393337,0,24
50,36,34,39,39,1.83,31.606337926224295,0,25
47,43,35,30,43,1.77,31.715605565843298,0,25
44,45,50,29,30,1.78,32.46303698901826,0,25
27,46,37,44,44,1.68,25.63295461628525,0,25
40,32,42,34,50,1.64,28.830828310900518,0,25
26,45,41,34,52,1.48,25.733634899510925,0,25
31,42,42,41,42,1.64,26.861229262344253,0,25
45,38,41,38,36,1.96,31.91021691716588,0,25
42,33,41,48,34,1.55,28.105911684372337,0,25
46,42,37,36,37,1.3,26.752107892900977,0,25
43,32,37,45,41,1.47,28.786676009581242,0,25
47,36,38,37,40,1.88,31.99569026624449,0,25
43,40,40,39,36,1.76,30.141335935260113,0,25
34,45,30,42,47,1.69,27.35151536025753,0,25
37,39,43,30,49,1.65,28.714006890907978,0,25
44,38,36,37,43,1.61,29.468985162840358,0,25
44,40,42,34,38,1.34,29.13435138545672,0,25
42,40,38,36,42,1.43,30.098439158834907,0,25
37,42,42,45,32,1.63,27.485008093239024,0,25
32,44,37,39,46,1.57,27.262829835145354,0,25
51,39,43,37,28,1.83,33.56494502549005,0,26
31,39,46,38,44,1.88,27.485235057602264,0,26
41,39,34,44,40,1.98,29.494059192733292,0,26
47,34,40,40,37,1.97,31.277173017211716,0,26
51,42,38,32,35,1.37,31.5465265980567,0,26
34,36,41,47,40,1.54,27.122725374669205,0,26
40,35,44,32,47,1.84,30.18105413315015,0,26
41,47,31,42,37,1.46,29.587575679013725,0,26
36,47,32,38,45,1.32,27.068409217442806,0,26
39,36,35,52,36,1.43,27.56840189363073,0,26
42,29,47,39,41,1.32,27.989128793088604,0,26
44,43,34,38,39,1.79,30.797828138627686,0,26
36,44,37,44,37,1.93,29.133961052261995,0,26
52,36,29,40,41,1.86,31.606011869386286,0,26
